district,name,mcdname,pop
2,"Craig, Angie",South St. Paul City,20160
2,"Craig, Angie",Spring Lake Township,3631
2,"Craig, Angie",Stanton Township,1130
2,"Craig, Angie",St. Lawrence Township,483
2,"Craig, Angie",St. Paul Park City,4993
2,"Craig, Angie",Sunfish Lake City,521
2,"Craig, Angie",Vasa Township,910
2,"Craig, Angie",Vermillion City,419
2,"Craig, Angie",Vermillion Township,1192
2,"Craig, Angie",Wabasha City,2521
2,"Craig, Angie",Wacouta Township,386
2,"Craig, Angie",Wanamingo City,1086
2,"Craig, Angie",Wanamingo Township,456
2,"Craig, Angie",Warsaw Township,607
2,"Craig, Angie",Waterford Township,497
2,"Craig, Angie",Watopa Township,247
2,"Craig, Angie",Webster Township,928
2,"Craig, Angie",Welch Township,754
2,"Craig, Angie",West Albany Township,398
2,"Craig, Angie",West St. Paul City,19540
2,"Craig, Angie",Wheeling Township,551
2,"Craig, Angie",Zumbro Falls City,207
2,"Craig, Angie",Zumbrota City,3252
2,"Craig, Angie",Zumbrota Township,586
2,"Craig, Angie",Zumbro Township,722
3,"Phillips, Dean",Bloomington City,82893
3,"Phillips, Dean",Brooklyn Park City,75781
3,"Phillips, Dean",Champlin City,23089
3,"Phillips, Dean",Chanhassen City,22952
3,"Phillips, Dean",Chaska City,23770
3,"Phillips, Dean",Coon Rapids City,61476
3,"Phillips, Dean",Corcoran City,5379
3,"Phillips, Dean",Dahlgren Township,53
3,"Phillips, Dean",Dayton City,4617
3,"Phillips, Dean",Deephaven City,3642
3,"Phillips, Dean",Eden Prairie City,60797
3,"Phillips, Dean",Edina City,34572
3,"Phillips, Dean",Excelsior City,2188
3,"Phillips, Dean",Greenfield City,2777
3,"Phillips, Dean",Greenwood City,688
3,"Phillips, Dean",Hassan Township,2600
3,"Phillips, Dean",Independence City,3504
3,"Phillips, Dean",Laketown Township,2243
3,"Phillips, Dean",Long Lake City,1768
3,"Phillips, Dean",Loretto City,650
3,"Phillips, Dean",Maple Grove City,61567
3,"Phillips, Dean",Maple Plain City,1768
3,"Phillips, Dean",Medicine Lake City,371
3,"Phillips, Dean",Medina City,4892
3,"Phillips, Dean",Minnetonka Beach City,539
3,"Phillips, Dean",Minnetonka City,49734
3,"Phillips, Dean",Minnetrista City,6384
3,"Phillips, Dean",Mound City,9052
3,"Phillips, Dean",Orono City,7437
3,"Phillips, Dean",Osseo City,2430
3,"Phillips, Dean",Plymouth City,70576
3,"Phillips, Dean",Rogers City,8597
3,"Phillips, Dean",Shorewood City,7307
3,"Phillips, Dean",Spring Park City,1669
3,"Phillips, Dean",St. Bonifacius City,2283
3,"Phillips, Dean",Tonka Bay City,1475
3,"Phillips, Dean",Victoria City,7345
3,"Phillips, Dean",Wayzata City,3688
3,"Phillips, Dean",Woodland City,437
4,"McCollum, Betty",Afton City,2886
4,"McCollum, Betty",Arden Hills City,9552
4,"McCollum, Betty",Bayport City,3471
4,"McCollum, Betty",Baytown Township,1723
4,"McCollum, Betty",Birchwood Village City,870
4,"McCollum, Betty",Dellwood City,1063
4,"McCollum, Betty",Falcon Heights City,5321
4,"McCollum, Betty",Gem Lake City,393
4,"McCollum, Betty",Grant City,4096
4,"McCollum, Betty",Lake Elmo City,8069
4,"McCollum, Betty",Lakeland City,1796
4,"McCollum, Betty",Lakeland Shores City,311
4,"McCollum, Betty",Lake St. Croix Beach City,1051
4,"McCollum, Betty",Landfall City,686
4,"McCollum, Betty",Lauderdale City,2379
4,"McCollum, Betty",Little Canada City,9773
4,"McCollum, Betty",Mahtomedi City,7676
4,"McCollum, Betty",Maplewood City,38018
4,"McCollum, Betty",Mounds View City,12155
4,"McCollum, Betty",New Brighton City,21456
4,"McCollum, Betty",Newport City,3435
4,"McCollum, Betty",North Oaks City,4469
4,"McCollum, Betty",North St. Paul City,11460
4,"McCollum, Betty",Oakdale City,27378
4,"McCollum, Betty",Oak Park Heights City,4339
4,"McCollum, Betty",Pine Springs City,408
4,"McCollum, Betty",Roseville City,33660
4,"McCollum, Betty",Shoreview City,25043
4,"McCollum, Betty",Spring Lake Park City,178
4,"McCollum, Betty",Stillwater City,18225
4,"McCollum, Betty",Stillwater Township,2366
4,"McCollum, Betty",St. Marys Point City,368
4,"McCollum, Betty",St. Paul City,285068
4,"McCollum, Betty",St. Paul Park City,286
4,"McCollum, Betty",Vadnais Heights City,12302
4,"McCollum, Betty",West Lakeland Township,4046
4,"McCollum, Betty",White Bear Lake City,23797
4,"McCollum, Betty",White Bear Township,10949
4,"McCollum, Betty",Willernie City,507
4,"McCollum, Betty",Woodbury City,61961
5,"Omar, Ilhan",Brooklyn Center City,30104
5,"Omar, Ilhan",Columbia Heights City,19496
5,"Omar, Ilhan",Crystal City,22151
5,"Omar, Ilhan",Edina City,13369
5,"Omar, Ilhan",Fort Snelling Unorganized,149
5,"Omar, Ilhan",Fridley City,27208
5,"Omar, Ilhan",Golden Valley City,20371
5,"Omar, Ilhan",Hilltop City,744
5,"Omar, Ilhan",Hopkins City,17591
5,"Omar, Ilhan",Minneapolis City,382578
5,"Omar, Ilhan",New Hope City,20339
5,"Omar, Ilhan",Richfield City,35228
5,"Omar, Ilhan",Robbinsdale City,13953
5,"Omar, Ilhan",Spring Lake Park City,6234
5,"Omar, Ilhan",St. Anthony City,8226
5,"Omar, Ilhan",St. Louis Park City,45250
6,"Emmer, Tom",Alberta Township,818
6,"Emmer, Tom",Albertville,7044
6,"Emmer, Tom",Albion Township,1255
6,"Emmer, Tom",Andover City,30598
6,"Emmer, Tom",Annandale City,3228
6,"Emmer, Tom",Anoka City,17142
6,"Emmer, Tom",Avon City,1396
6,"Emmer, Tom",Avon Township,2294
6,"Emmer, Tom",Baldwin Township,6739
6,"Emmer, Tom",Becker City,4538
6,"Emmer, Tom",Becker Township,4842
6,"Emmer, Tom",Benton Township,786
6,"Emmer, Tom",Bethel City,466
6,"Emmer, Tom",Big Lake City,10060
6,"Emmer, Tom",Big Lake Township,7386
6,"Emmer, Tom",Blaine City,57186
6,"Emmer, Tom",Blue Hill Township,2176
6,"Emmer, Tom",Brockway Township,2702
6,"Emmer, Tom",Buffalo City,15453
6,"Emmer, Tom",Buffalo Township,1804
6,"Emmer, Tom",Camden Township,922
6,"Emmer, Tom",Carver City,3724
6,"Emmer, Tom",Centerville City,3792
6,"Emmer, Tom",Chatham Township,1302
6,"Emmer, Tom",Circle Pines City,4918
6,"Emmer, Tom",Clear Lake City,545
6,"Emmer, Tom",Clear Lake Township,1539
6,"Emmer, Tom",Clearwater City,1735
6,"Emmer, Tom",Clearwater Township,1306
6,"Emmer, Tom",Cokato City,2694
6,"Emmer, Tom",Cokato Township,1311
6,"Emmer, Tom",Cold Spring City,4025
6,"Emmer, Tom",Collegeville Township,3343
6,"Emmer, Tom",Cologne City,1519
6,"Emmer, Tom",Columbus Township,3914
6,"Emmer, Tom",Corinna Township,2322
6,"Emmer, Tom",Dahlgren Township,1278
6,"Emmer, Tom",Dayton City,54
6,"Emmer, Tom",Delano City,5464
6,"Emmer, Tom",East Bethel City,11626
6,"Emmer, Tom",Eden Lake Township,1542
6,"Emmer, Tom",Elk River City,22974
6,"Emmer, Tom",Fair Haven Township,1507
6,"Emmer, Tom",Foley City,2603
6,"Emmer, Tom",Forest Lake City,18375
6,"Emmer, Tom",Franklin Township,2760
6,"Emmer, Tom",French Lake Township,1172
6,"Emmer, Tom",Gilman City,224
6,"Emmer, Tom",Gilmanton Township,841
6,"Emmer, Tom",Glendorado Township,762
6,"Emmer, Tom",Graham Township,582
6,"Emmer, Tom",Granite Ledge Township,743
6,"Emmer, Tom",Hamburg City,513
6,"Emmer, Tom",Ham Lake City,15296
6,"Emmer, Tom",Hancock Township,345
6,"Emmer, Tom",Hanover City,2938
6,"Emmer, Tom",Haven Township,1986
6,"Emmer, Tom",Holdingford City,708
6,"Emmer, Tom",Holding Township,1139
6,"Emmer, Tom",Hollywood Township,1041
6,"Emmer, Tom",Howard Lake City,1962
6,"Emmer, Tom",Hugo City,13332
6,"Emmer, Tom",Kimball City,762
6,"Emmer, Tom",Langola Township,906
6,"Emmer, Tom",Le Sauk Township,1766
6,"Emmer, Tom",Lexington City,2049
6,"Emmer, Tom",Lino Lakes City,20216
6,"Emmer, Tom",Linwood Township,5123
6,"Emmer, Tom",Livonia Township,5951
6,"Emmer, Tom",Luxemburg Township,637
6,"Emmer, Tom",Lynden Township,1938
6,"Emmer, Tom",Maine Prairie Township,1887
6,"Emmer, Tom",Maple Lake City,2059
6,"Emmer, Tom",Maple Lake Township,2048
6,"Emmer, Tom",Marine on St. Croix City,689
6,"Emmer, Tom",Marysville Township,2147
6,"Emmer, Tom",Mayer City,1749
6,"Emmer, Tom",Mayhew Lake Township,831
6,"Emmer, Tom",May Township,2776
6,"Emmer, Tom",Maywood Township,954
6,"Emmer, Tom",Middleville Township,937
6,"Emmer, Tom",Minden Township,1664
6,"Emmer, Tom",Monticello City,12759
6,"Emmer, Tom",Monticello Township,3181
6,"Emmer, Tom",Montrose City,2847
6,"Emmer, Tom",Munson Township,778
6,"Emmer, Tom",New Germany City,372
6,"Emmer, Tom",Norwood Young America City,3549
6,"Emmer, Tom",Nowthen City,4443
6,"Emmer, Tom",Oak Grove City,8031
6,"Emmer, Tom",Orrock Township,3451
6,"Emmer, Tom",Otsego City,13571
6,"Emmer, Tom",Palmer Township,2354
6,"Emmer, Tom",Princeton City,50
6,"Emmer, Tom",Ramsey City,23668
6,"Emmer, Tom",Rice City,1275
6,"Emmer, Tom",Richmond City,1422
6,"Emmer, Tom",Rockford City,4316
6,"Emmer, Tom",Rockford Township,3194
6,"Emmer, Tom",Rockville City,2448
6,"Emmer, Tom",Royalton City,3
6,"Emmer, Tom",San Francisco Township,832
6,"Emmer, Tom",Santiago Township,1895
6,"Emmer, Tom",Sartell City,15876
6,"Emmer, Tom",Sauk Rapids City,12773
6,"Emmer, Tom",Sauk Rapids Township,584
6,"Emmer, Tom",Scandia City,3936
6,"Emmer, Tom",Silver Creek Township,2335
6,"Emmer, Tom",South Haven City,187
6,"Emmer, Tom",Southside Township,1521
6,"Emmer, Tom",St. Augusta City,3317
6,"Emmer, Tom",St. Cloud City,65842
6,"Emmer, Tom",St. Francis City,7218
6,"Emmer, Tom",St. George Township,1153
6,"Emmer, Tom",St. Joseph City,6534
6,"Emmer, Tom",St. Joseph Township,1924
6,"Emmer, Tom",St. Michael City,16399
6,"Emmer, Tom",Stockholm Township,959
6,"Emmer, Tom",St. Stephen City,851
6,"Emmer, Tom",St. Wendel Township,2150
6,"Emmer, Tom",Victor Township,1032
6,"Emmer, Tom",Waconia City,10697
6,"Emmer, Tom",Waconia Township,1228
6,"Emmer, Tom",Waite Park City,6715
6,"Emmer, Tom",Wakefield Township,2756
6,"Emmer, Tom",Watab Township,3093
6,"Emmer, Tom",Watertown City,4205
6,"Emmer, Tom",Watertown Township,1204
6,"Emmer, Tom",Waverly City,1357
6,"Emmer, Tom",Woodland Township,1082
6,"Emmer, Tom",Young America Township,715
6,"Emmer, Tom",Zimmerman City,5228
7,"Peterson, Collin",2-C Unorg.,146
7,"Peterson, Collin",3-A Unorg.,328
7,"Peterson, Collin",5-A Unorg.,611
7,"Peterson, Collin",Aastad Township,213
7,"Peterson, Collin",Acoma Township,1149
7,"Peterson, Collin",Acton Township,375
7,"Peterson, Collin",Ada City,1707
7,"Peterson, Collin",Aetna Township,194
7,"Peterson, Collin",Agassiz Township,103
7,"Peterson, Collin",Agder Township,109
7,"Peterson, Collin",Akron Township,301
7,"Peterson, Collin",Alaska Township,217
7,"Peterson, Collin",Albany City,2561
7,"Peterson, Collin",Albany Township,980
7,"Peterson, Collin",Alberta City,103
7,"Peterson, Collin",Alexandria City,11070
7,"Peterson, Collin",Alexandria Township,4098
7,"Peterson, Collin",Alfsborg Township,323
7,"Peterson, Collin",Alliance Township,235
7,"Peterson, Collin",Alma Township,88
7,"Peterson, Collin",Almond Township,110
7,"Peterson, Collin",Alta Vista Township,175
7,"Peterson, Collin",Altona Township,153
7,"Peterson, Collin",Alvarado City,363
7,"Peterson, Collin",Amboy Township,164
7,"Peterson, Collin",Amiret Township,245
7,"Peterson, Collin",Amor Township,495
7,"Peterson, Collin",Amo Township,132
7,"Peterson, Collin",Andover Township,119
7,"Peterson, Collin",Andrea Township,65
7,"Peterson, Collin",Angus Township,76
7,"Peterson, Collin",Ann Township,179
7,"Peterson, Collin",Anthony Township,62
7,"Peterson, Collin",Appleton City,1412
7,"Peterson, Collin",Appleton Township,203
7,"Peterson, Collin",Arco City,75
7,"Peterson, Collin",Arctander Township,381
7,"Peterson, Collin",Arena Township,122
7,"Peterson, Collin",Argyle City,639
7,"Peterson, Collin",Arlington City,2233
7,"Peterson, Collin",Arlington Township,543
7,"Peterson, Collin",Arthur Township,81
7,"Peterson, Collin",Artichoke Township,79
7,"Peterson, Collin",Arveson Township,96
7,"Peterson, Collin",Ashby City,446
7,"Peterson, Collin",Ash Lake Township,151
7,"Peterson, Collin",Ashley Township,262
7,"Peterson, Collin",Atherton Township,145
7,"Peterson, Collin",Atlanta Township,119
7,"Peterson, Collin",Atwater City,1133
7,"Peterson, Collin",Audubon City,519
7,"Peterson, Collin",Audubon Township,548
7,"Peterson, Collin",Augsburg Township,74
7,"Peterson, Collin",Augusta Township,110
7,"Peterson, Collin",Aurdal Township,1450
7,"Peterson, Collin",Avoca City,147
7,"Peterson, Collin",Badger City,375
7,"Peterson, Collin",Badger Township,117
7,"Peterson, Collin",Bagley City,1392
7,"Peterson, Collin",Baker Township,114
7,"Peterson, Collin",Balaton City,643
7,"Peterson, Collin",Bandon Township,175
7,"Peterson, Collin",Bangor Township,185
7,"Peterson, Collin",Barnesville City,2563
7,"Peterson, Collin",Barnesville Township,147
7,"Peterson, Collin",Barnett Township,139
7,"Peterson, Collin",Barrett City,415
7,"Peterson, Collin",Barry City,16
7,"Peterson, Collin",Barsness Township,149
7,"Peterson, Collin",Bartlett Township,445
7,"Peterson, Collin",Barto Township,138
7,"Peterson, Collin",Battle Lake City,875
7,"Peterson, Collin",Battle Township,46
7,"Peterson, Collin",Baudette City,1106
7,"Peterson, Collin",Baudette Unorg,281
7,"Peterson, Collin",Baxter Township,200
7,"Peterson, Collin",Bear Creek Township,111
7,"Peterson, Collin",Beardsley City,233
7,"Peterson, Collin",Bear Park Township,192
7,"Peterson, Collin",Beaulieu Township,108
7,"Peterson, Collin",Beaver Falls Township,197
7,"Peterson, Collin",Beaver Township,107
7,"Peterson, Collin",Bejou City,89
7,"Peterson, Collin",Bejou Township,79
7,"Peterson, Collin",Belfast Township,192
7,"Peterson, Collin",Belgium Township,81
7,"Peterson, Collin",Belgrade City,740
7,"Peterson, Collin",Belle River Township,345
7,"Peterson, Collin",Bellingham City,168
7,"Peterson, Collin",Beltrami City,107
7,"Peterson, Collin",Beltrami Forest Unorg,112
7,"Peterson, Collin",Belview City,384
7,"Peterson, Collin",Bemidji City,13431
7,"Peterson, Collin",Bemidji Township,3134
7,"Peterson, Collin",Benson City,3240
7,"Peterson, Collin",Benson Township,334
7,"Peterson, Collin",Benville Township,86
7,"Peterson, Collin",Ben Wade Township,250
7,"Peterson, Collin",Bergen Township,1006
7,"Peterson, Collin",Bertha City,497
7,"Peterson, Collin",Bertha Township,408
7,"Peterson, Collin",Big Bend Township,240
7,"Peterson, Collin",Big Stone Township,273
7,"Peterson, Collin",Big Woods Township,53
7,"Peterson, Collin",Birch Cooley Township,245
7,"Peterson, Collin",Birchdale Township,856
7,"Peterson, Collin",Bird Island City,1042
7,"Peterson, Collin",Bird Island Township,205
7,"Peterson, Collin",Biscay City,113
7,"Peterson, Collin",Bismarck Township,314
7,"Peterson, Collin",Black River Township,82
7,"Peterson, Collin",Blomkest City,157
7,"Peterson, Collin",Bloomer Township,89
7,"Peterson, Collin",Blowers Township,321
7,"Peterson, Collin",Blue Mounds Township,186
7,"Peterson, Collin",Bluffton City,207
7,"Peterson, Collin",Bluffton Township,479
7,"Peterson, Collin",Bondin Township,268
7,"Peterson, Collin",Boon Lake Township,378
7,"Peterson, Collin",Borup City,110
7,"Peterson, Collin",Boxville Township,39
7,"Peterson, Collin",Boyd City,175
7,"Peterson, Collin",Bradford Township,91
7,"Peterson, Collin",Brandon City,489
7,"Peterson, Collin",Brandon Township,713
7,"Peterson, Collin",Brandrup Township,158
7,"Peterson, Collin",Brandsvold Township,245
7,"Peterson, Collin",Brandt Township,50
7,"Peterson, Collin",Bray Township,64
7,"Peterson, Collin",Breckenridge City,3386
7,"Peterson, Collin",Breckenridge Township,255
7,"Peterson, Collin",Brislet Township,53
7,"Peterson, Collin",Brookfield Township,156
7,"Peterson, Collin",Brooks City,141
7,"Peterson, Collin",Brookville Township,224
7,"Peterson, Collin",Brooten City,743
7,"Peterson, Collin",Browerville City,790
7,"Peterson, Collin",Browns Creek Township,48
7,"Peterson, Collin",Browns Valley City,589
7,"Peterson, Collin",Browns Valley Township,125
7,"Peterson, Collin",Brownton City,762
7,"Peterson, Collin",Bruce Township,585
7,"Peterson, Collin",Buffalo Lake City,733
7,"Peterson, Collin",Burbank Township,566
7,"Peterson, Collin",Burke Township,209
7,"Peterson, Collin",Burleene Township,345
7,"Peterson, Collin",Burlington Township,1545
7,"Peterson, Collin",Burnhamville Township,759
7,"Peterson, Collin",Burton Township,148
7,"Peterson, Collin",Burtrum City,144
7,"Peterson, Collin",Buse Township,491
7,"Peterson, Collin",Butler Township,283
7,"Peterson, Collin",Buzzle Township,310
7,"Peterson, Collin",Bygland Township,272
7,"Peterson, Collin",Cairo Township,232
7,"Peterson, Collin",Callaway City,234
7,"Peterson, Collin",Callaway Township,287
7,"Peterson, Collin",Cameron Township,137
7,"Peterson, Collin",Campbell City,158
7,"Peterson, Collin",Campbell Township,57
7,"Peterson, Collin",Camp Lake Township,213
7,"Peterson, Collin",Camp Release Township,315
7,"Peterson, Collin",Camp Township,186
7,"Peterson, Collin",Canby City,1795
7,"Peterson, Collin",Candor Township,561
7,"Peterson, Collin",Cannon Township,20
7,"Peterson, Collin",Caribou Township,48
7,"Peterson, Collin",Carlisle Township,156
7,"Peterson, Collin",Carlos City,502
7,"Peterson, Collin",Carlos Township,2048
7,"Peterson, Collin",Carsonville Township,220
7,"Peterson, Collin",Cashel Township,174
7,"Peterson, Collin",Cedarbend Township,221
7,"Peterson, Collin",Cedar Mills City,45
7,"Peterson, Collin",Cedar Mills Township,460
7,"Peterson, Collin",Cedar Township,86
7,"Peterson, Collin",Cerro Gordo Township,197
7,"Peterson, Collin",Champion Township,53
7,"Peterson, Collin",Chanarambie Township,206
7,"Peterson, Collin",Chandler City,270
7,"Peterson, Collin",Charlestown Township,208
7,"Peterson, Collin",Chester Township,75
7,"Peterson, Collin",Chief Township,96
7,"Peterson, Collin",Chippewa Falls Township,228
7,"Peterson, Collin",Chokio City,400
7,"Peterson, Collin",Clara City,1360
7,"Peterson, Collin",Clarissa City,681
7,"Peterson, Collin",Clarkfield City,863
7,"Peterson, Collin",Clearbrook City,518
7,"Peterson, Collin",Clements City,153
7,"Peterson, Collin",Clifton Township,324
7,"Peterson, Collin",Climax City,267
7,"Peterson, Collin",Clinton City,449
7,"Peterson, Collin",Clitherall City,112
7,"Peterson, Collin",Clitherall Township,455
7,"Peterson, Collin",Clontarf City,164
7,"Peterson, Collin",Clontarf Township,86
7,"Peterson, Collin",Clover Leaf Township,84
7,"Peterson, Collin",Clover Township,234
7,"Peterson, Collin",Clow Township,46
7,"Peterson, Collin",Colfax Township,547
7,"Peterson, Collin",Collins Township,473
7,"Peterson, Collin",Collinwood Township,1113
7,"Peterson, Collin",Columbia Township,470
7,"Peterson, Collin",Como Township,39
7,"Peterson, Collin",Compton Township,801
7,"Peterson, Collin",Comstock City,93
7,"Peterson, Collin",Comstock Township,105
7,"Peterson, Collin",Connelly Township,116
7,"Peterson, Collin",Coon Creek Township,244
7,"Peterson, Collin",Copley Township,872
7,"Peterson, Collin",Corliss Township,493
7,"Peterson, Collin",Cormorant Township,1039
7,"Peterson, Collin",Cornish Township,243
7,"Peterson, Collin",Correll City,34
7,"Peterson, Collin",Cosmos City,473
7,"Peterson, Collin",Cosmos Township,228
7,"Peterson, Collin",Cottonwood City,1212
7,"Peterson, Collin",Crate Township,211
7,"Peterson, Collin",Croke Township,75
7,"Peterson, Collin",Cromwell Township,345
7,"Peterson, Collin",Crookston City,7891
7,"Peterson, Collin",Crookston Township,413
7,"Peterson, Collin",Crooks Township,191
7,"Peterson, Collin",Crow Lake Township,318
7,"Peterson, Collin",Crow River Township,327
7,"Peterson, Collin",Cuba Township,277
7,"Peterson, Collin",Currie City,233
7,"Peterson, Collin",Custer Township,203
7,"Peterson, Collin",Cyrus City,288
7,"Peterson, Collin",Dale Township,151
7,"Peterson, Collin",Dalton City,253
7,"Peterson, Collin",Dane Prairie Township,887
7,"Peterson, Collin",Danielson Township,295
7,"Peterson, Collin",Danube City,505
7,"Peterson, Collin",Danvers City,97
7,"Peterson, Collin",Darnen Township,292
7,"Peterson, Collin",Darwin City,350
7,"Peterson, Collin",Darwin Township,681
7,"Peterson, Collin",Dassel City,1469
7,"Peterson, Collin",Dassel Township,1526
7,"Peterson, Collin",Davis Township,30
7,"Peterson, Collin",Dawson City,1540
7,"Peterson, Collin",Dead Lake Township,494
7,"Peterson, Collin",Deer Creek City,322
7,"Peterson, Collin",Deer Creek Township,344
7,"Peterson, Collin",Deerhorn Township,97
7,"Peterson, Collin",Deer Park Township,126
7,"Peterson, Collin",Deer Township,105
7,"Peterson, Collin",Deerwood Township,153
7,"Peterson, Collin",De Graff City,115
7,"Peterson, Collin",Delaware Township,102
7,"Peterson, Collin",Delhi City,70
7,"Peterson, Collin",Delhi Township,293
7,"Peterson, Collin",Dent City,192
7,"Peterson, Collin",Des Moines River Township,133
7,"Peterson, Collin",Detroit Lakes City,8569
7,"Peterson, Collin",Detroit Township,2033
7,"Peterson, Collin",Dewey Township,122
7,"Peterson, Collin",Diamond Lake Township,207
7,"Peterson, Collin",Dieter Township,148
7,"Peterson, Collin",Dilworth City,4024
7,"Peterson, Collin",Dollymount Township,77
7,"Peterson, Collin",Donaldson City,42
7,"Peterson, Collin",Donnelly City,241
7,"Peterson, Collin",Donnelly Township,119
7,"Peterson, Collin",Doran City,55
7,"Peterson, Collin",Dora Township,725
7,"Peterson, Collin",Dovray City,57
7,"Peterson, Collin",Dovray Township,152
7,"Peterson, Collin",Dovre Township,2119
7,"Peterson, Collin",Drammen Township,118
7,"Peterson, Collin",Dryden Township,287
7,"Peterson, Collin",Dublin Township,152
7,"Peterson, Collin",Dudley Township,400
7,"Peterson, Collin",Dumont City,100
7,"Peterson, Collin",Dunn Township,905
7,"Peterson, Collin",Eagle Bend City,535
7,"Peterson, Collin",Eagle Lake Township,378
7,"Peterson, Collin",Eagle Point Township,17
7,"Peterson, Collin",Eagle Valley Township,541
7,"Peterson, Collin",Eagle View Township,131
7,"Peterson, Collin",Eastern Township,230
7,"Peterson, Collin",East Grand Forks City,8601
7,"Peterson, Collin",East Lake Lillian Township,199
7,"Peterson, Collin",East Park Township,23
7,"Peterson, Collin",East Valley Township,43
7,"Peterson, Collin",Echo City,278
7,"Peterson, Collin",Echo Township,145
7,"Peterson, Collin",Eckles Township,1516
7,"Peterson, Collin",Eckvoll Township,77
7,"Peterson, Collin",Eddy Township,339
7,"Peterson, Collin",Eden Township,446
7,"Peterson, Collin",Eden Valley City,1042
7,"Peterson, Collin",Edgerton City,1189
7,"Peterson, Collin",Edison Township,106
7,"Peterson, Collin",Edna Township,897
7,"Peterson, Collin",Edwards Township,242
7,"Peterson, Collin",Effington Township,264
7,"Peterson, Collin",Eglon Township,508
7,"Peterson, Collin",Eidsvold Township,236
7,"Peterson, Collin",Elbow Lake City,1176
7,"Peterson, Collin",Elbow Lake Township,141
7,"Peterson, Collin",Eldorado Township,94
7,"Peterson, Collin",Elizabeth City,173
7,"Peterson, Collin",Elizabeth Township,819
7,"Peterson, Collin",Elk Lake Township,281
7,"Peterson, Collin",Elkton Township,308
7,"Peterson, Collin",Ellsborough Township,145
7,"Peterson, Collin",Ellsworth Township,848
7,"Peterson, Collin",Elmer Township,231
7,"Peterson, Collin",Elmo Township,331
7,"Peterson, Collin",Elmwood Township,415
7,"Peterson, Collin",Elrosa City,211
7,"Peterson, Collin",Emardville Township,195
7,"Peterson, Collin",Emmet Township,226
7,"Peterson, Collin",Enstrom Township,455
7,"Peterson, Collin",Equality Township,131
7,"Peterson, Collin",Erdahl Township,347
7,"Peterson, Collin",Erhard City,148
7,"Peterson, Collin",Erhards Grove Township,442
7,"Peterson, Collin",Ericson Township,206
7,"Peterson, Collin",Erie Township,1642
7,"Peterson, Collin",Erskine City,503
7,"Peterson, Collin",Espelie Township,39
7,"Peterson, Collin",Esther Township,165
7,"Peterson, Collin",Euclid Township,151
7,"Peterson, Collin",Evansville City,612
7,"Peterson, Collin",Evansville Township,242
7,"Peterson, Collin",Everglade Township,108
7,"Peterson, Collin",Evergreen Township,340
7,"Peterson, Collin",Everts Township,658
7,"Peterson, Collin",Excel Township,300
7,"Peterson, Collin",Fahlun Township,335
7,"Peterson, Collin",Fairfax City,1235
7,"Peterson, Collin",Fairfax Township,198
7,"Peterson, Collin",Fairfield Township,128
7,"Peterson, Collin",Fairview Township,394
7,"Peterson, Collin",Falk Township,284
7,"Peterson, Collin",Falun Township,251
7,"Peterson, Collin",Fanny Township,103
7,"Peterson, Collin",Farley Township,45
7,"Peterson, Collin",Farming Township,987
7,"Peterson, Collin",Farwell City,51
7,"Peterson, Collin",Fawn Lake Township,555
7,"Peterson, Collin",Faxon Township,701
7,"Peterson, Collin",Felton City,177
7,"Peterson, Collin",Felton Township,86
7,"Peterson, Collin",Fenton Township,177
7,"Peterson, Collin",Fergus Falls City,13138
7,"Peterson, Collin",Fergus Falls Township,1006
7,"Peterson, Collin",Fertile City,842
7,"Peterson, Collin",Fisher City,435
7,"Peterson, Collin",Fisher Township,200
7,"Peterson, Collin",Flom Township,218
7,"Peterson, Collin",Flora Township,188
7,"Peterson, Collin",Florence City,39
7,"Peterson, Collin",Florida Township,129
7,"Peterson, Collin",Flowing Township,77
7,"Peterson, Collin",Foldahl Township,62
7,"Peterson, Collin",Folden Township,299
7,"Peterson, Collin",Folsom Township,128
7,"Peterson, Collin",Forada City,185
7,"Peterson, Collin",Forest City Township,653
7,"Peterson, Collin",Forest Prairie Township,972
7,"Peterson, Collin",Forest Township,77
7,"Peterson, Collin",Fork Township,10
7,"Peterson, Collin",Fortier Township,99
7,"Peterson, Collin",Fosston City,1527
7,"Peterson, Collin",Fossum Township,156
7,"Peterson, Collin",Foster Township,112
7,"Peterson, Collin",Fountain Prairie Township,188
7,"Peterson, Collin",Foxhome City,116
7,"Peterson, Collin",Foxhome Township,103
7,"Peterson, Collin",Framnas Township,305
7,"Peterson, Collin",Franklin City,510
7,"Peterson, Collin",Frazee City,1350
7,"Peterson, Collin",Freeland Township,102
7,"Peterson, Collin",Freeport City,632
7,"Peterson, Collin",Friberg Township,809
7,"Peterson, Collin",Friendship Township,192
7,"Peterson, Collin",Fulda City,1318
7,"Peterson, Collin",Gales Township,137
7,"Peterson, Collin",Garden Township,212
7,"Peterson, Collin",Garfield City,354
7,"Peterson, Collin",Garfield Township,606
7,"Peterson, Collin",Garnes Township,190
7,"Peterson, Collin",Garvin City,135
7,"Peterson, Collin",Gary City,214
7,"Peterson, Collin",Gaylord City,2305
7,"Peterson, Collin",Gennessee Township,413
7,"Peterson, Collin",Gentilly Township,280
7,"Peterson, Collin",Georgetown Township,285
7,"Peterson, Collin",Germania Township,500
7,"Peterson, Collin",Germantown Township,86
7,"Peterson, Collin",Gervais Township,226
7,"Peterson, Collin",Getty Township,376
