district,name,mcdname,pop
1,"Hagedorn, Jim",Kilkenny City,134
1,"Hagedorn, Jim",Kilkenny Township,404
1,"Hagedorn, Jim",Kimball Township,129
1,"Hagedorn, Jim",Kinbrae City,12
1,"Hagedorn, Jim",La Crescent City,4830
1,"Hagedorn, Jim",La Crescent Township,1446
1,"Hagedorn, Jim",La Crosse Township,156
1,"Hagedorn, Jim",Lafayette City,504
1,"Hagedorn, Jim",Lafayette Township,694
1,"Hagedorn, Jim",Lake Belt Township,189
1,"Hagedorn, Jim",Lake Crystal City,2549
1,"Hagedorn, Jim",Lakefield City,1694
1,"Hagedorn, Jim",Lake Fremont Township,162
1,"Hagedorn, Jim",Lake Hanska Township,339
1,"Hagedorn, Jim",Lake Prairie Township,682
1,"Hagedorn, Jim",Lakeside Township,237
1,"Hagedorn, Jim",Lanesboro City,754
1,"Hagedorn, Jim",Lanesburgh Township,2035
1,"Hagedorn, Jim",Lansing Township,941
1,"Hagedorn, Jim",Larkin Township,188
1,"Hagedorn, Jim",La Salle City,87
1,"Hagedorn, Jim",Leavenworth Township,287
1,"Hagedorn, Jim",Le Center City,2499
1,"Hagedorn, Jim",Lemond Township,501
1,"Hagedorn, Jim",Leota Township,390
1,"Hagedorn, Jim",Le Ray Township,746
1,"Hagedorn, Jim",Le Roy City,929
1,"Hagedorn, Jim",Le Roy Township,354
1,"Hagedorn, Jim",Le Sueur City,4048
1,"Hagedorn, Jim",Lewiston City,1620
1,"Hagedorn, Jim",Lewisville City,250
1,"Hagedorn, Jim",Lexington Township,707
1,"Hagedorn, Jim",Lime Township,1395
1,"Hagedorn, Jim",Lincoln Township,200
1,"Hagedorn, Jim",Linden Township,295
1,"Hagedorn, Jim",Lismore City,227
1,"Hagedorn, Jim",Lismore Township,175
1,"Hagedorn, Jim",Little Rock Township,211
1,"Hagedorn, Jim",Lodi Township,270
1,"Hagedorn, Jim",London Township,315
1,"Hagedorn, Jim",Long Lake Township,338
1,"Hagedorn, Jim",Lonsdale City,3674
1,"Hagedorn, Jim",Lorain Township,297
1,"Hagedorn, Jim",Lura Township,163
1,"Hagedorn, Jim",Luverne City,4745
1,"Hagedorn, Jim",Luverne Township,479
1,"Hagedorn, Jim",Lyle City,551
1,"Hagedorn, Jim",Lyle Township,356
1,"Hagedorn, Jim",Lyra Township,327
1,"Hagedorn, Jim",Mabel City,780
1,"Hagedorn, Jim",Madelia City,2308
1,"Hagedorn, Jim",Madelia Township,351
1,"Hagedorn, Jim",Madison Lake City,1017
1,"Hagedorn, Jim",Magnolia City,222
1,"Hagedorn, Jim",Magnolia Township,212
1,"Hagedorn, Jim",Manchester City,57
1,"Hagedorn, Jim",Manchester Township,424
1,"Hagedorn, Jim",Mankato City,39309
1,"Hagedorn, Jim",Mankato Township,1969
1,"Hagedorn, Jim",Mansfield Township,237
1,"Hagedorn, Jim",Mantorville City,1197
